City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bethel,41.3712,-73.414,7.49,76,0,2.06,US,1698036306
83,kirakira,-10.4544,161.9205,28.42,72,71,0.29,SB,1698036307
84,mugia,43.1041,-9.2179,13.42,82,100,2.69,ES,1698036308
85,wailua homesteads,22.0669,-159.378,26.24,84,100,6.69,US,1698036308
86,whitehorse,60.7161,-135.0538,-7.88,65,100,3.09,CA,1698036309
87,ribeira grande,38.5167,-28.7,18.76,78,92,1.34,PT,1698036309
88,ilhabela,-23.7781,-45.3581,20.88,92,95,4.01,BR,1698036310
89,moose jaw,50.4001,-105.5344,6.14,87,100,4.63,CA,1698036310
90,tsiombe,-25.3,45.4833,24.8,49,31,4.82,MG,1698036311
91,flying fish cove,-10.4217,105.6791,28.82,69,22,4.12,CX,1698036312
92,codrington,-38.2667,141.9667,15.46,57,31,4.89,AU,1698036312
93,thompson,55.7435,-97.8558,-5.91,86,0,2.57,CA,1698036313
94,kodiak,57.79,-152.4072,2.73,65,0,3.6,US,1698036313
95,keflavik,64.0049,-22.5624,4.24,75,75,1.54,IS,1698036314
96,ke-macina,13.9623,-5.3572,29.36,34,84,2.26,ML,1698036315
97,kingston,17.997,-76.7936,28.53,83,20,2.06,JM,1698036161
98,lompoc,34.6391,-120.4579,18.21,87,100,6.71,US,1698036316
99,daru,-9.0763,143.2092,27.05,58,54,4.36,PG,1698036317
100,haiku-pauwela,20.9219,-156.3051,24.59,90,40,2.24,US,1698036318
101,walvis bay,-22.9575,14.5053,12.83,93,0,3.6,NA,1698036318
102,shimoda,34.6667,138.95,20.2,52,72,1.24,JP,1698036319
103,visby,57.6409,18.296,9.46,100,100,2.06,SE,1698036319
104,dudinka,69.4058,86.1778,-1.32,89,96,4.15,RU,1698036320
105,nikolayevsk-on-amure,53.1406,140.73,4.49,49,82,5.93,RU,1698036320
106,mohammedia,33.7066,-7.3944,19.4,100,40,5.14,MA,1698036321
107,great falls,47.5002,-111.3008,7.25,86,75,2.06,US,1698036198
108,lihue,21.9789,-159.3672,26.58,85,100,6.69,US,1698036105
109,champerico,14.3,-91.9167,25.89,85,94,2.17,GT,1698036322
110,badger,64.8,-147.5333,-3.34,91,40,1.54,US,1698036323
111,montrose,38.4166,-108.2673,9.18,33,27,3.43,US,1698036318
112,wetherby,53.9284,-1.3867,8.13,95,100,1.03,GB,1698036324
113,pokhara,28.2333,83.9833,24.24,36,18,1.69,NP,1698036325
114,christchurch,-43.5333,172.6333,16.97,69,57,8.23,NZ,1698036160
115,priob'ye,62.5206,65.5964,-0.61,63,69,6.9,RU,1698036326
116,conde,-7.2597,-34.9075,23.7,88,20,2.06,BR,1698036327
